# Export File Created with QBlade CE v2.0.8.6_beta windows on 21.05.2025 at 14:13:34
NREL_5MW Simulation	[TSR_0.000]
Tip Speed Ratio [-]	Thrust Coefficient Ct [-]	Tip Speed Ratio [-]	Thrust Coefficient Ct [-]
5.9000001e+00	6.4328384e-01	END	END
6.0000000e+00	6.5395480e-01	END	END
6.0999999e+00	6.6428351e-01	END	END
6.1999998e+00	6.7425853e-01	END	END
6.3000002e+00	6.8396550e-01	END	END
6.4000001e+00	6.9325942e-01	END	END
6.5000000e+00	7.0217067e-01	END	END
6.5999999e+00	7.1083724e-01	END	END
6.6999998e+00	7.1927190e-01	END	END
6.8000002e+00	7.2751009e-01	END	END
6.9000001e+00	7.3555058e-01	END	END
7.0000000e+00	7.4309123e-01	END	END
7.0999999e+00	7.5035465e-01	END	END
7.1999998e+00	7.5746560e-01	END	END
7.3000002e+00	7.6439542e-01	END	END
7.4000001e+00	7.7120018e-01	END	END
7.5000000e+00	7.7787900e-01	END	END
7.5999999e+00	7.8440332e-01	END	END
7.6999998e+00	7.9061913e-01	END	END
7.8000002e+00	7.9666853e-01	END	END
7.9000001e+00	8.0259287e-01	END	END
8.0000000e+00	8.0840772e-01	END	END
8.1000004e+00	8.1411779e-01	END	END
8.1999998e+00	8.1974357e-01	END	END
8.3000002e+00	8.2528681e-01	END	END
8.3999996e+00	8.3075058e-01	END	END
8.5000000e+00	8.3613104e-01	END	END
8.6000004e+00	8.4142601e-01	END	END
8.6999998e+00	8.4664202e-01	END	END
8.8000002e+00	8.5176933e-01	END	END
8.8999996e+00	8.5681337e-01	END	END
9.0000000e+00	8.6178941e-01	END	END
9.1000004e+00	8.6670345e-01	END	END
9.1999998e+00	8.7157291e-01	END	END
9.3000002e+00	8.7641293e-01	END	END
9.3999996e+00	8.8122350e-01	END	END
9.5000000e+00	8.8600165e-01	END	END
9.6000004e+00	8.9075691e-01	END	END
9.6999998e+00	8.9548659e-01	END	END
9.8000002e+00	9.0018445e-01	END	END
9.8999996e+00	9.0484530e-01	END	END
1.0000000e+01	9.0947503e-01	END	END
1.0100000e+01	9.1407329e-01	END	END
1.0200000e+01	9.1863334e-01	END	END
1.0300000e+01	9.2316633e-01	END	END
1.0400000e+01	9.2767078e-01	END	END
1.0500000e+01	9.3215162e-01	END	END
1.0600000e+01	9.3660831e-01	END	END
1.0700000e+01	9.4103914e-01	END	END
1.0800000e+01	9.4545043e-01	END	END
1.0900000e+01	9.4984055e-01	END	END
1.1000000e+01	9.5420933e-01	END	END
1.1100000e+01	9.5855182e-01	END	END
1.1200000e+01	9.6286553e-01	END	END
1.1300000e+01	9.6715778e-01	END	END
1.1400000e+01	9.7142661e-01	END	END
1.1500000e+01	9.7567225e-01	END	END
1.1600000e+01	9.7988337e-01	END	END
1.1700000e+01	9.8406821e-01	END	END
1.1800000e+01	9.8823452e-01	END	END
1.1900000e+01	9.9238497e-01	END	END
1.2000000e+01	9.9651682e-01	END	END
1.2100000e+01	1.0006289e+00	END	END
1.2200000e+01	1.0047239e+00	END	END
1.2300000e+01	1.0088035e+00	END	END
1.2400000e+01	1.0128635e+00	END	END
1.2500000e+01	1.0169101e+00	END	END
1.2600000e+01	1.0209495e+00	END	END
1.2700000e+01	1.0249709e+00	END	END
1.2800000e+01	1.0289733e+00	END	END
1.2900000e+01	1.0329574e+00	END	END
1.3000000e+01	1.0369242e+00	END	END
1.3100000e+01	1.0408757e+00	END	END
1.3200000e+01	1.0448087e+00	END	END
1.3300000e+01	1.0487244e+00	END	END
1.3400000e+01	1.0526249e+00	END	END
1.3500000e+01	1.0565108e+00	END	END
1.3600000e+01	1.0603795e+00	END	END
1.3700000e+01	1.0642332e+00	END	END
1.3800000e+01	1.0680721e+00	END	END
1.3900000e+01	1.0718966e+00	END	END
1.4000000e+01	1.0757055e+00	END	END
1.4100000e+01	1.0795021e+00	END	END
1.4200000e+01	1.0832841e+00	END	END
1.4300000e+01	1.0870535e+00	END	END
1.4400000e+01	1.0908070e+00	END	END
1.4500000e+01	1.0945486e+00	END	END
1.4600000e+01	1.0982769e+00	END	END
1.4700000e+01	1.1019930e+00	END	END
1.4800000e+01	1.1056949e+00	END	END
1.4900000e+01	1.1093869e+00	END	END
1.5000000e+01	1.1130670e+00	END	END
1.5100000e+01	1.1167351e+00	END	END
1.5200000e+01	1.1203860e+00	END	END
1.5300000e+01	1.1240250e+00	END	END
1.5400000e+01	1.1276536e+00	END	END
1.5500000e+01	1.1312680e+00	END	END
1.5600000e+01	1.1348710e+00	END	END
1.5700000e+01	1.1384646e+00	END	END
1.5800000e+01	1.1420482e+00	END	END
1.5900000e+01	1.1456206e+00	END	END
1.6000000e+01	1.1491840e+00	END	END
1.6100000e+01	1.1527376e+00	END	END
1.6200001e+01	1.1562796e+00	END	END
1.6299999e+01	1.1598155e+00	END	END
1.6400000e+01	1.1633432e+00	END	END
1.6500000e+01	1.1668594e+00	END	END
1.6600000e+01	1.1703646e+00	END	END
1.6700001e+01	1.1738605e+00	END	END
1.6799999e+01	1.1773511e+00	END	END
1.6900000e+01	1.1808318e+00	END	END
1.7000000e+01	1.1843029e+00	END	END
1.7100000e+01	1.1877671e+00	END	END
1.7200001e+01	1.1912220e+00	END	END
1.7299999e+01	1.1946688e+00	END	END
1.7400000e+01	1.1981093e+00	END	END
1.7500000e+01	1.2015400e+00	END	END
1.7600000e+01	1.2049617e+00	END	END
1.7700001e+01	1.2083751e+00	END	END
1.7799999e+01	1.2117811e+00	END	END
1.7900000e+01	1.2151780e+00	END	END
